2016-04-05-05-26-19,Pilt001,,86,"3,893,453",85,"3,348,530",85,"3,353,002",92,"7,052,929",94,"8,671,404",99,"13,285,177",74,"1,173,287",95,"9,153,549",89,"4,999,577",94,"8,342,093",99,"15,471,466",95,"8,867,989",94,"8,759,702",99,"13,098,518",87,"4,311,245",89,"5,071,324",0
2016-04-05-05-26-19,50screams,,99,"13,216,495",99,"13,325,839",99,"13,621,202",99,"18,028,805",99,"13,036,085",99,"13,061,288",77,"1,583,010",89,"4,985,275",99,"13,049,644",85,"3,489,055",85,"3,532,927",99,"13,282,570",99,"13,270,178",99,"13,255,266",99,"14,227,721",76,"1,347,580",0
2016-04-05-05-26-19,Zenorobo,,65,"453,256",74,"1,162,351",75,"1,243,048",74,"1,105,947",70,"781,127",92,"7,097,389",90,"5,464,609",97,"11,234,359",99,"14,975,709",97,"11,289,159",99,"30,910,645",98,"12,657,777",99,"22,505,422",97,"11,221,693",99,"27,645,895",81,"2,218,263",0
2016-04-05-05-26-19,Persiflage,,78,"1,740,706",93,"7,268,256",55,"172,328",90,"5,369,132",91,"6,354,543",99,"32,404,935",99,"16,040,822",99,"13,619,419",99,"16,130,088",99,"13,346,980",99,"198,036,383",99,"14,897,451",99,"43,453,929",99,"35,644,284",99,"49,953,678",104,"22,105,907",0
2016-04-05-05-26-19,Vincete,,56,"192,505",56,"192,543",70,"770,617",69,"711,483",56,"184,333",64,"442,384",73,"1,024,127",74,"1,178,828",80,"1,991,937",68,"610,025",78,"1,661,697",77,"1,545,458",85,"3,544,074",79,"1,907,562",95,"9,233,143",70,"746,045",0
2016-04-05-05-26-19,Otto Mo Biel,,43,"54,823",1,0,1,0,10,"1,154",41,"41,867",99,"15,692,072",1,0,75,"1,217,654",60,"282,063",71,"861,354",96,"10,245,679",75,"1,261,970",75,"1,215,357",75,"1,221,945",1,0,73,"1,085,668",0
2016-04-05-05-26-19,Barto222229,,99,"20,289,320",99,"20,582,593",99,"24,689,682",99,"81,336,837",99,"180,980,610",99,"96,439,736",99,"40,906,515",99,"37,157,620",99,"185,679,920",99,"30,609,943",99,"200,000,000",99,"69,233,805",99,"110,119,706",99,"67,174,778",99,"200,000,000",120,"200,000,000",0
2016-04-05-05-26-19,Zer00tje,,80,"2,154,666",78,"1,750,315",90,"5,565,716",89,"4,926,051",78,"1,740,646",99,"14,655,256",94,"8,080,922",93,"7,382,775",92,"6,916,278",91,"5,985,464",99,"13,069,199",99,"17,431,530",99,"16,758,889",99,"14,415,534",99,"13,742,406",99,"13,038,427",0
2016-04-05-05-26-19,X l A O,,99,"13,093,353",99,"36,012,125",99,"14,727,501",99,"26,239,143",99,"13,554,602",99,"17,800,320",99,"13,257,517",99,"13,613,762",99,"14,057,833",99,"22,100,693",99,"14,148,573",99,"15,617,676",99,"49,595,608",99,"13,408,253",99,"13,400,117",120,"200,000,000",0
2016-04-05-05-26-19,Red Rabbi111,,99,"16,311,134",99,"16,289,742",99,"16,203,027",99,"21,031,476",99,"14,505,401",99,"30,647,403",99,"15,516,576",99,"18,690,627",99,"15,157,141",99,"16,462,319",99,"35,658,672",99,"16,430,967",99,"34,483,599",99,"29,884,869",99,"17,558,912",105,"24,108,073",0
2016-04-05-05-26-19,2bad4you24,,65,"466,976",74,"1,105,726",60,"279,889",83,"2,681,159",81,"2,204,608",84,"3,139,527",95,"8,960,244",99,"14,401,838",99,"14,448,957",99,"18,156,695",99,"14,483,888",99,"17,597,671",99,"17,259,598",99,"18,395,277",99,"16,361,636",111,"45,797,478",0
2016-04-05-05-26-19,Medaragon,,98,"12,900,107",98,"12,281,606",96,"10,020,042",99,"14,795,439",94,"8,374,750",99,"19,604,510",97,"11,536,468",99,"17,001,230",99,"17,437,443",99,"13,422,472",99,"33,141,278",99,"33,734,115",99,"68,540,949",99,"30,329,240",99,"61,458,724",103,"19,907,690",0
2016-04-05-05-26-19,Dahliz,,50,"102,329",63,"368,625",50,"101,629",56,"193,803",48,"86,450",61,"317,786",50,"104,097",66,"539,581",70,"751,915",54,"161,393",65,"469,235",73,"1,068,816",81,"2,232,912",71,"865,120",73,"996,742",61,"309,721",0
2016-04-05-05-26-19,Edgeomatic1,,99,"13,093,350",99,"14,606,350",99,"13,110,174",99,"18,290,065",99,"14,320,854",99,"15,645,526",63,"395,422",80,"2,183,888",90,"5,461,710",99,"13,102,354",99,"13,232,546",99,"13,789,871",79,"1,917,899",99,"13,067,788",74,"1,203,313",69,"673,348",0
2016-04-05-05-26-19,Lady Lorith,,99,"18,115,024",99,"19,624,445",99,"27,434,259",99,"28,986,169",99,"18,185,229",99,"200,000,000",99,"23,121,478",99,"18,389,043",99,"19,150,623",99,"20,345,480",99,"200,000,000",99,"27,211,618",99,"200,000,000",99,"75,158,651",99,"200,000,000",120,"200,000,000",0
2016-04-05-05-26-19,Lil Dan Def,,95,"8,773,514",93,"7,314,095",96,"9,791,010",96,"9,791,624",92,"6,839,009",99,"17,073,706",99,"13,190,586",99,"20,529,737",99,"22,217,049",99,"21,023,925",99,"55,922,433",99,"35,976,835",99,"71,013,846",99,"37,061,243",99,"31,730,705",93,"7,777,682",0
2016-04-05-05-26-19,Historic Kid,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,99,"13,034,552",1,0,1,0,1,0,0
2016-04-05-05-26-19,Island Music,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,84,"3,119,605",95,"9,089,099",89,"4,842,445",99,"20,464,242",90,"5,457,791",99,"33,658,989",99,"23,356,910",99,"25,000,000",111,"44,858,161",0
2016-04-05-05-26-19,irtehbestEVA,,1,0,1,0,1,0,10,"1,154",1,0,1,0,99,"13,333,337",90,"5,346,748",90,"5,439,506",90,"5,429,303",90,"5,425,681",90,"5,400,186",99,"20,661,404",99,"13,034,946",99,"13,846,719",90,"5,833,112",0
2016-04-05-05-26-19,Bond4evr,,99,"30,051,618",99,"28,865,298",99,"26,363,398",99,"42,224,322",99,"35,191,504",99,"38,449,548",99,"26,121,515",99,"27,700,730",99,"36,696,041",99,"33,089,327",99,"104,315,348",99,"26,282,738",99,"65,094,643",99,"113,207,523",99,"30,453,880",120,"117,016,624",0
2016-04-05-05-26-19,Expert1212,,99,"14,400,701",99,"13,359,831",99,"13,076,405",99,"17,944,023",99,"13,275,664",99,"26,254,913",99,"13,150,430",99,"13,179,762",99,"13,251,298",98,"12,937,270",99,"40,832,156",99,"14,408,481",99,"200,000,000",99,"16,134,495",99,"16,121,537",99,"13,432,041",0
2016-04-05-05-26-19,xxaragon31xx,,93,"7,817,024",93,"7,279,798",93,"7,196,062",95,"9,544,026",91,"5,925,078",82,"2,612,325",89,"5,111,302",92,"6,935,096",89,"5,043,305",94,"8,297,211",83,"2,833,144",99,"13,936,333",99,"13,346,821",92,"6,945,456",98,"12,542,070",92,"7,096,560",0
2016-04-05-05-26-19,200m Cooker,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,41,"41,757",49,"98,205",49,"95,087",32,"17,871",70,"748,661",72,"971,267",32,"17,148",99,"55,529,895",25,"8,609",0
2016-04-05-05-26-19,Sirhasenfurz,,99,"34,618,921",99,"13,573,322",99,"13,480,569",99,"24,980,946",99,"13,661,585",99,"21,950,039",99,"14,056,628",99,"16,102,521",99,"14,530,695",99,"13,115,871",99,"34,097,995",99,"17,304,137",99,"200,000,000",99,"53,494,733",99,"200,000,000",70,"761,135",0
2016-04-05-05-26-19,Gold Duckii,,97,"10,705,111",86,"3,798,161",99,"13,325,632",96,"10,231,867",99,"13,117,253",99,"24,958,526",99,"13,196,745",99,"16,503,672",99,"15,158,915",99,"14,477,043",99,"83,723,191",99,"19,546,508",99,"200,000,000",99,"25,902,475",99,"18,556,497",94,"8,418,238",0
2016-04-05-05-26-19,Kaurberg,,99,"13,078,810",99,"13,149,847",99,"13,080,491",99,"17,631,679",99,"13,108,885",99,"21,192,317",95,"9,113,850",99,"13,334,487",99,"13,484,502",91,"6,440,273",94,"8,132,401",99,"14,880,320",99,"36,977,597",99,"14,067,005",99,"16,313,738",81,"2,200,269",0
2016-04-05-05-26-19,Goldeagle211,,80,"2,008,467",80,"2,029,719",80,"2,008,423",83,"2,676,310",80,"1,998,485",81,"2,290,704",70,"747,506",70,"774,061",87,"4,152,915",78,"1,796,274",82,"2,576,501",84,"3,176,185",90,"5,435,590",90,"5,361,721",90,"5,432,709",51,"113,746",0
2016-04-05-05-26-19,Pursibal,,80,"2,020,487",81,"2,292,457",85,"3,260,494",89,"5,175,595",92,"7,036,924",81,"2,329,764",71,"829,088",77,"1,489,737",76,"1,419,660",85,"3,329,358",80,"2,047,451",78,"1,649,251",85,"3,495,709",82,"2,521,535",81,"2,396,452",86,"3,878,017",0
2016-04-05-05-26-19,Zammypker43,,99,"13,078,645",99,"13,124,331",97,"10,802,580",99,"15,057,124",81,"2,414,124",95,"9,404,099",81,"2,293,495",86,"3,626,356",80,"2,173,329",85,"3,284,224",90,"5,659,320",90,"5,375,023",99,"13,630,598",97,"11,214,865",99,"13,273,636",101,"16,414,972",0
2016-04-05-05-26-19,Nogin Girl,,51,"113,745",51,"117,490",55,"182,917",65,"485,273",72,"931,972",68,"640,125",76,"1,352,759",86,"3,758,220",76,"1,377,129",92,"6,836,357",86,"3,766,625",79,"1,921,524",86,"3,751,458",73,"993,053",72,"916,392",53,"145,202",0
2016-04-05-05-26-19,Zyzum Jr,,62,"359,410",60,"273,966",51,"113,690",59,"264,952",30,"14,051",73,"1,040,651",40,"37,730",56,"191,404",50,"104,444",60,"295,473",60,"282,558",60,"285,972",94,"8,672,077",81,"2,275,161",59,"269,476",88,"4,632,949",0
2016-04-05-05-26-19,Makkaravelho,,99,"15,098,281",99,"16,602,124",99,"15,377,615",99,"21,355,018",99,"13,537,234",99,"27,299,986",99,"13,952,977",99,"15,910,186",99,"15,560,977",99,"13,867,573",99,"19,725,442",99,"14,037,960",99,"200,000,000",99,"15,232,878",99,"114,110,145",120,"140,355,151",0
2016-04-05-05-26-19,7up1230,,87,"4,090,235",87,"4,093,344",87,"4,088,611",90,"5,526,026",85,"3,444,019",93,"7,668,837",85,"3,530,802",85,"3,262,487",85,"3,265,106",90,"5,599,911",88,"4,461,840",90,"5,856,373",95,"8,788,349",88,"4,474,194",88,"4,691,373",90,"5,644,428",0
2016-04-05-05-26-19,Kaiser Zose,,70,"739,353",71,"885,006",70,"806,597",72,"907,354",58,"225,070",63,"371,724",57,"203,278",73,"1,051,418",64,"435,069",72,"922,983",72,"944,459",77,"1,503,074",78,"1,711,025",72,"945,790",76,"1,345,530",80,"2,021,735",0
2016-04-05-05-26-19,Sir Matej5,,93,"7,306,759",93,"7,273,262",93,"7,288,298",96,"10,555,923",99,"13,034,746",99,"15,898,353",97,"11,066,551",99,"13,036,605",94,"7,987,748",96,"10,689,554",99,"25,359,161",93,"7,285,293",99,"20,107,142",95,"9,340,282",99,"15,926,729",99,"13,788,396",0
2016-04-05-05-26-19,Killapaladin,,92,"6,517,276",92,"6,517,276",92,"6,517,276",93,"7,835,295",95,"8,774,798",90,"5,352,460",90,"5,346,332",95,"8,817,162",90,"5,400,861",90,"5,461,912",90,"5,370,927",91,"5,928,996",95,"8,771,714",90,"5,564,460",95,"8,773,255",90,"5,435,343",0
2016-04-05-05-26-19,A DIY Newb,,55,"176,967",59,"254,325",55,"177,069",62,"357,755",58,"232,949",64,"439,156",51,"117,688",67,"587,516",63,"400,889",68,"664,840",73,"1,032,864",81,"2,206,929",83,"2,847,984",88,"4,692,400",90,"5,378,211",77,"1,524,073",0
2016-04-05-05-26-19,Dragon Curve,,93,"7,274,820",91,"6,031,589",91,"6,291,660",94,"8,202,141",92,"7,037,601",98,"12,360,858",84,"2,971,199",87,"4,263,300",87,"4,238,726",99,"13,479,577",99,"13,478,751",91,"6,388,044",99,"14,986,506",98,"13,029,201",99,"13,212,034",90,"5,372,711",0
2016-04-05-05-26-19,warriorghhs,,74,"1,098,457",75,"1,211,280",73,"1,026,249",76,"1,424,062",73,"1,063,077",72,"958,585",74,"1,140,089",83,"2,933,133",76,"1,360,770",83,"2,845,123",81,"2,313,675",82,"2,633,987",82,"2,610,640",80,"2,172,111",85,"3,338,535",69,"688,146",0
2016-04-05-05-26-19,Mateo 132,,50,"101,356",89,"5,061,036",1,0,81,"2,294,998",80,"2,101,943",90,"5,864,517",89,"5,172,433",99,"13,124,715",99,"13,076,098",99,"13,051,772",99,"13,044,607",99,"15,533,087",99,"18,171,314",99,"13,204,396",99,"14,905,258",81,"2,418,867",0
2016-04-05-05-26-19,Skill Lvl126,,81,"2,328,492",81,"2,310,529",86,"3,929,551",86,"3,867,935",81,"2,359,840",82,"2,429,890",83,"2,806,704",83,"2,699,129",80,"2,098,942",82,"2,562,367",80,"2,143,377",89,"4,843,291",90,"5,420,259",89,"4,844,299",90,"5,513,781",87,"4,189,228",0
2016-04-05-05-26-19,Uzrs,,50,"101,382",38,"30,761",51,"120,640",48,"91,641",20,"4,555",99,"15,494,529",46,"73,661",60,"286,509",95,"9,481,970",82,"2,593,306",93,"7,577,006",91,"6,151,010",74,"1,199,276",99,"13,885,498",82,"2,437,935",41,"42,721",0
2016-04-05-05-26-19,Bikla0,,99,"13,035,271",99,"13,034,472",99,"13,034,694",99,"17,197,952",99,"13,034,589",99,"18,378,084",99,"13,034,431",99,"13,477,338",99,"13,496,294",99,"13,563,845",99,"17,886,572",99,"13,448,687",99,"15,430,573",99,"13,315,537",99,"13,129,162",120,"104,273,167",0
2016-04-05-05-26-19,Mr Tyr,,99,"17,099,425",99,"37,360,395",99,"22,215,861",99,"39,171,012",99,"38,863,563",99,"31,321,383",99,"200,000,000",99,"16,632,852",99,"82,792,495",99,"20,352,281",99,"59,084,542",99,"18,119,091",99,"106,608,187",99,"16,713,882",99,"80,271,298",112,"51,567,791",0
2016-04-05-05-26-19,sirbunnyfart,,40,"38,295",42,"47,304",40,"38,789",42,"47,140",29,"13,128",30,"13,379",71,"844,717",89,"5,144,271",62,"355,184",70,"792,079",80,"2,148,110",77,"1,614,159",78,"1,704,428",80,"2,030,368",88,"4,532,666",26,"8,974",0
2016-04-05-05-26-19,Amantini,,66,"534,506",66,"535,510",66,"536,173",68,"620,112",61,"327,838",70,"779,720",61,"314,492",68,"614,863",65,"492,625",67,"594,842",72,"965,421",75,"1,324,127",79,"1,854,836",67,"600,481",71,"865,431",71,"830,271",0
2016-04-05-05-26-19,ari6321,,99,"13,709,871",99,"17,030,928",99,"13,376,132",99,"23,310,033",99,"16,244,742",99,"30,943,538",99,"13,407,984",99,"14,532,483",99,"13,983,738",99,"15,335,524",99,"21,747,321",99,"20,497,179",99,"38,456,019",99,"14,990,898",99,"15,007,701",120,"146,710,222",0
2016-04-05-05-26-19,k phil,,93,"7,423,981",99,"13,225,088",87,"4,081,227",94,"8,294,317",99,"13,111,684",99,"20,823,764",90,"5,832,307",92,"6,684,235",84,"2,992,323",88,"4,792,646",96,"10,170,836",99,"14,024,556",99,"13,873,392",99,"13,574,176",99,"13,302,003",110,"39,496,307",0
2016-04-05-05-26-19,Nervic0,,99,"13,359,896",99,"13,139,624",1,0,99,"15,953,938",99,"16,610,930",99,"13,535,520",66,"534,979",93,"7,454,445",99,"15,518,259",94,"8,062,982",99,"35,625,693",93,"7,474,304",99,"17,137,180",93,"7,316,591",99,"16,472,919",100,"14,910,739",0
2016-04-05-05-26-19,Merchantable,,99,"13,069,426",99,"13,295,662",99,"13,151,127",99,"16,278,739",95,"8,866,417",99,"33,251,453",95,"9,475,226",99,"13,137,978",99,"13,303,047",84,"3,186,825",99,"52,632,220",90,"5,377,880",99,"20,231,995",99,"19,146,615",99,"14,152,530",87,"4,002,134",0
2016-04-05-05-26-19,Ibuki Fuko,,99,"21,709,369",99,"21,666,139",99,"22,786,951",99,"27,352,265",99,"14,977,770",99,"50,415,732",99,"14,140,868",99,"18,780,647",99,"16,171,123",99,"15,448,215",99,"26,207,589",99,"22,530,230",99,"81,309,303",99,"29,464,913",99,"39,694,726",100,"14,752,869",0
2016-04-05-05-26-19,Orbitperson,,99,"13,334,864",99,"13,256,576",99,"13,358,814",99,"15,273,769",93,"7,941,726",99,"134,172,468",99,"13,625,951",99,"13,222,554",99,"13,350,908",97,"11,169,188",99,"13,865,015",99,"13,786,900",99,"14,945,852",99,"78,712,235",99,"14,915,321",89,"5,084,457",0
2016-04-05-05-26-19,Soloz2003,,80,"2,004,901",80,"1,994,494",80,"2,013,982",83,"2,678,332",80,"2,063,988",90,"5,755,423",81,"2,252,346",81,"2,195,852",83,"2,730,182",92,"6,601,040",87,"4,260,241",84,"2,996,206",99,"14,100,597",85,"3,302,644",99,"13,405,303",80,"2,166,653",0
2016-04-05-05-26-19,dragonbeam,,99,"14,391,775",99,"15,711,434",99,"14,391,910",99,"20,005,419",99,"14,391,201",99,"26,786,766",99,"13,798,168",99,"13,661,923",99,"13,400,744",92,"6,597,259",99,"26,312,713",92,"6,691,636",99,"44,669,775",99,"13,473,009",99,"21,075,615",103,"19,785,428",0
2016-04-05-05-26-19,Newbisms,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,99,"13,040,771",99,"13,463,161",84,"3,125,770",99,"19,957,507",99,"13,856,231",99,"22,837,593",99,"27,650,433",1,0,102,"19,303,571",0
2016-04-05-05-26-19,Rusty Nail24,,73,"1,033,064",68,"623,597",60,"290,422",82,"2,483,578",80,"2,036,715",81,"2,223,451",94,"8,663,854",99,"14,605,875",99,"14,423,447",99,"18,934,094",99,"14,632,929",99,"17,648,678",99,"16,632,815",99,"19,215,077",99,"16,264,184",111,"44,958,229",0
2016-04-05-05-26-19,Dj Ruli-Lake,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,72,"915,239",74,"1,191,409",89,"4,866,829",75,"1,285,086",74,"1,098,684",80,"2,130,319",88,"4,610,430",84,"3,064,556",99,"13,799,624",0
2016-04-05-05-26-19,Sir M0nsterr,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,80,"2,130,987",87,"4,110,066",84,"3,170,872",99,"52,987,383",78,"1,719,446",99,"14,972,730",98,"11,853,290",93,"7,560,532",93,"7,195,629",0
2016-04-05-05-26-19,Atomterrible,,75,"1,231,164",75,"1,239,342",80,"2,087,603",81,"2,391,334",86,"3,667,560",99,"14,975,166",99,"13,034,431",84,"3,134,427",80,"2,030,695",87,"4,056,450",99,"14,967,094",77,"1,537,094",90,"5,761,830",75,"1,282,191",90,"5,689,624",81,"2,390,315",0
2016-04-05-05-26-19,DJ Ruli,,99,"14,554,587",99,"14,887,161",99,"15,045,440",99,"19,742,970",99,"14,628,070",99,"21,892,658",99,"16,761,971",99,"18,497,228",99,"20,328,621",99,"19,443,487",99,"24,059,234",99,"18,288,994",99,"200,000,000",99,"25,462,606",99,"200,000,000",120,"151,301,017",0
2016-04-05-05-26-19,Killer 7276,,96,"9,685,306",96,"9,685,607",96,"9,686,752",99,"13,274,523",97,"10,965,508",99,"13,110,655",93,"7,273,412",92,"6,577,406",99,"13,252,138",90,"5,490,006",99,"13,057,188",99,"27,371,535",99,"22,009,547",99,"13,914,390",99,"16,759,731",93,"7,313,674",0
2016-04-05-05-26-19,123 Lvs 2 Go,,1,0,1,0,1,0,10,"1,154",1,0,1,0,1,0,73,"1,028,644",85,"3,360,703",93,"7,230,290",88,"4,461,970",96,"9,684,749",85,"3,268,752",96,"9,684,946",82,"2,421,167",80,"2,136,574",0
2016-04-05-05-26-19,James Was007,,99,"13,046,396",99,"13,506,248",99,"13,222,253",99,"17,391,070",99,"13,394,671",99,"37,541,455",99,"16,831,890",99,"14,007,702",99,"14,887,108",99,"13,325,038",99,"47,290,126",99,"14,316,237",99,"21,548,284",99,"13,142,693",99,"15,028,434",120,"110,055,524",0
2016-04-05-05-26-19,Arpe12,,99,"15,937,957",99,"16,110,541",99,"15,932,083",99,"21,000,231",99,"15,133,546",99,"33,422,608",99,"13,857,692",99,"15,738,093",99,"17,201,897",99,"114,103,259",99,"21,250,525",99,"16,343,551",99,"17,648,746",99,"20,659,394",99,"25,793,766",100,"15,079,309",0
2016-04-05-05-26-19,Sergji,,99,"15,000,935",99,"21,500,935",99,"15,000,935",99,"22,200,000",99,"21,400,075",99,"54,796,743",99,"16,200,050",98,"13,027,475",99,"17,000,010",99,"13,571,766",99,"55,091,310",99,"14,600,000",99,"42,000,000",99,"22,000,000",99,"40,000,000",120,"125,135,500",0
2016-04-05-05-26-19,Medieval Kid,,99,"43,020,263",99,"43,031,425",99,"43,069,411",99,"56,872,232",99,"43,012,487",99,"108,562,858",99,"55,400,000",99,"84,613,952",99,"104,308,356",99,"33,260,760",99,"200,000,000",99,"33,625,889",99,"135,020,366",99,"200,000,000",99,"200,000,000",120,"200,000,000",0
